MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_6998691216,14.13.598.9749,CLASSIC,0,2110
EUW1_6998733194,14.13.598.9749,CLASSIC,0,931
EUW1_6998756143,14.13.598.9749,CLASSIC,0,2271
EUW1_6998988544,14.13.598.9749,CLASSIC,0,2257
EUW1_6999004632,14.13.598.9749,CLASSIC,0,1924
EUW1_6999013778,14.13.598.9749,CLASSIC,0,2633
EUW1_6999289938,14.13.598.9749,CLASSIC,0,1800
EUW1_6999321058,14.13.598.9749,CLASSIC,0,107
EUW1_6999325554,14.13.598.9749,CLASSIC,0,1789
EUW1_6999338401,14.13.598.9749,CLASSIC,0,1371
EUW1_6999349789,14.13.598.9749,CHERRY,0,1333
EUW1_6999351442,14.13.598.9749,CLASSIC,0,2281
EUW1_6999385067,14.13.598.9749,CLASSIC,0,1552
EUW1_6999413757,14.13.598.9749,CLASSIC,0,2481
EUW1_6999963978,14.13.598.9749,CLASSIC,0,1450
EUW1_6999980732,14.13.598.9749,CLASSIC,0,1527
EUW1_6999994297,14.13.598.9749,CLASSIC,0,1603
EUW1_7000185181,14.13.598.9749,CLASSIC,0,2379
EUW1_7000246533,14.13.598.9749,CLASSIC,0,2127
EUW1_7000285676,14.13.598.9749,CLASSIC,0,1304
EUW1_7000312599,14.13.598.9749,CLASSIC,0,1888
EUW1_7000343385,14.13.598.9749,CLASSIC,0,900
EUW1_7000361296,14.13.598.9749,CLASSIC,0,1895
EUW1_7000409318,14.13.598.9749,CLASSIC,0,1539
EUW1_7000450085,14.13.598.9749,CHERRY,0,1281
EUW1_7000479260,14.13.598.9749,ARAM,0,107
EUW1_7000493965,14.13.598.9749,ARAM,0,1519
EUW1_7000739073,14.13.598.9749,CLASSIC,0,2068
EUW1_7000812426,14.13.598.9749,CLASSIC,0,1032
EUW1_7001046755,14.13.598.9749,CLASSIC,0,1838
EUW1_7001072409,14.13.598.9749,CLASSIC,0,2088
EUW1_7001095998,14.13.598.9749,CHERRY,0,1409
EUW1_7001117558,14.13.598.9749,CHERRY,0,1256
EUW1_7001122544,14.13.598.9749,CLASSIC,0,1517
EUW1_7001134035,14.13.598.9749,CLASSIC,0,997
EUW1_7001144054,14.13.598.9749,CLASSIC,0,1783
EUW1_7001152445,14.13.598.9749,CLASSIC,0,1595
EUW1_7001214619,14.13.598.9749,CLASSIC,0,1803
EUW1_7001244904,14.13.598.9749,CLASSIC,0,2589
EUW1_7001275635,14.13.598.9749,CHERRY,0,1211
EUW1_7001303954,14.13.598.9749,CLASSIC,0,1309
EUW1_7001347986,14.13.598.9749,CLASSIC,0,1812
